iter	Passed	Remaining
171	8687	41822
172	8758	41869
173	8820	41870
174	8868	41810
175	8908	41706
176	8952	41625
177	9020	41655
178	9100	41739
179	9144	41658
180	9185	41562
181	9240	41530
182	9324	41628
183	9402	41700
184	9452	41644
185	9499	41572
186	9545	41500
187	9590	41421
188	9631	41330
189	9676	41251
190	9718	41162
191	9766	41098
192	9803	40993
193	9871	41011
194	9940	41038
195	9981	40946
196	10020	40843
197	10066	40775
198	10106	40680
199	10153	40615
200	10199	40543
201	10239	40452
202	10282	40371
203	10322	40279
204	10366	40202
205	10425	40184
206	10471	40113
207	10514	40037
208	10553	39940
209	10595	39858
210	10634	39765
211	10678	39692
212	10718	39603
213	10761	39526
214	10799	39431
215	10821	39279
216	10861	39190
217	10914	39151
218	10967	39112
219	11016	39059
220	11068	39014
221	11131	39009
222	11181	38960
223	11216	38858
224	11258	38780
225	11309	38731
226	11380	38753
227	11424	38684
228	11505	38737
229	11534	38614
230	11578	38544
231	11631	38502
232	11680	38449
233	11722	38372
234	11764	38297
235	11836	38319
236	11901	38315
237	11968	38320
238	12039	38333
239	12095	38303
240	12137	38224
241	12179	38147
242	12233	38109
243	12287	38070
244	12350	38059
245	12411	38042
246	12464	37997
247	12508	37928
248	12567	37904
249	12622	37867
250	12666	37798
251	12713	37738
252	12755	37660
253	12822	37660
254	12864	37583
255	12922	37555
256	12979	37523
257	13040	37504
258	13086	37441
259	13137	37391
260	13194	37359
261	13249	37321
262	13290	37242
263	13329	37162
264	13361	37059
265	13398	36972
266	13446	36914
267	13520	36929
268	13579	36901
269	13638	36873
270	13689	36825
271	13729	36746
272	13780	36697
273	13844	36682
274	13880	36595
275	13926	36530
276	13960	36439
277	13993	36343
278	14032	36261
279	14078	36202
280	14130	36156
281	14194	36141
282	14247	36096
283	14291	36029
284	14316	35917
285	14363	35858
286	14420	35824
287	14479	35797
288	14525	35735
289	14569	35670
290	14623	35628
291	14661	35548
292	14704	35481
293	14744	35407
294	14790	35347
295	14830	35272
296	14873	35206
297	14907	35117
298	14946	35040
299	14987	34969
300	15026	34895
301	15065	34821
302	15110	34758
303	15148	34682
304	15190	34613
305	15227	34535
306	15263	34454
307	15308	34394
308	15346	34318
309	15391	34259
310	15433	34192
311	15476	34128
312	15521	34067
313	15565	34005
314	15606	33938
315	15633	33839
316	15675	33773
317	15715	33705
318	15750	33623
319	15792	33560
320	15839	33504
321	15881	33439
322	15923	33376
323	15966	33312
324	16005	33242
325	16045	33173
326	16093	33121
327	16141	33071
328	16194	33028
329	16242	32977
330	16278	32901
331	16323	32843
332	16358	32766
333	16399	32701
334	16443	32640
335	16489	32586
336	16536	32532
337	16583	32480
338	16635	32436
339	16682	32383
340	16735	32342
341	16785	32295
342	16839	32255
343	16884	32198
344	16916	32116
345	16956	32050
346	16996	31984
347	17038	31922
348	17080	31860
349	17121	31797
350	17166	31740
351	17207	31678
352	17249	31616
353	17300	31570
354	17347	31518
355	17405	31486
356	17455	31439
357	17492	31369
358	17547	31330
359	17600	31290
360	17640	31225
361	17677	31154
362	17713	31083
363	17747	31009
364	17795	30958
365	17841	30905
366	17876	30833
367	17939	30809
368	17987	30759
369	18026	30693
370	18051	30604
371	18098	30553
372	18130	30476
373	18166	30406
374	18210	30351
375	18250	30287
376	18292	30229
377	18334	30168
378	18362	30087
379	18397	30017
380	18447	29970
381	18495	29922
382	18538	29865
383	18562	29777
384	18599	29710
385	18642	29654
386	18683	29593
387	18727	29538
388	18764	29473
389	18820	29437
390	18881	29408
391	18947	29388
392	18978	29312
393	19027	29265
394	19057	29189
395	19098	29130
396	19147	29082
397	19194	29032
398	19247	28991
399	19295	28943
400	19325	28867
401	19368	28811
402	19413	28758
403	19451	28695
404	19496	28642
405	19544	28594
406	19598	28555
407	19648	28509
408	19681	28439
409	19729	28391
410	19764	28324
411	19813	28277
412	19842	28201
413	19869	28124
414	19913	28070
415	19961	28022
416	20010	27976
417	20058	27928
418	20104	27877
419	20138	27810
420	20177	27750
421	20225	27702
422	20267	27646
423	20313	27596
424	20361	27548
425	20400	27487
426	20435	27422
427	20491	27385
428	20542	27341
429	20594	27299
430	20641	27251
431	20684	27196
432	20732	27148
433	20783	27104
434	20800	27016
435	20815	26926
436	20877	26897
437	20895	26811
438	20927	26742
439	20978	26699
440	21017	26641
441	21069	26599
442	21107	26539
443	21142	26475
444	21183	26420
445	21205	26340
446	21246	26284
447	21286	26227
448	21307	26147
449	21320	26058
450	21342	25980
451	21365	25902
452	21417	25861
453	21443	25788
454	21461	25706
455	21484	25630
456	21497	25543
457	21515	25461
458	21557	25408
459	21601	25358
460	21640	25301
461	21698	25268
462	21752	25229
463	21792	25174
464	21834	25121
465	21879	25072
466	21927	25026
467	21972	24977
468	22019	24930
469	22060	24876
470	22102	24824
471	22146	24774
472	22187	24720
473	22240	24679
474	22302	24650
475	22340	24593
476	22377	24535
477	22425	24489
478	22471	24442
479	22520	24397
480	22565	24348
481	22608	24296
482	22647	24241
483	22689	24189
484	22740	24146
485	22804	24118
486	22848	24068
487	22889	24014
488	22938	23970
489	22997	23935
490	23055	23900
491	23091	23842
492	23137	23794
493	23173	23736
494	23209	23678
495	23251	23626
496	23291	23572
497	23330	23517
498	23374	23468
499	23421	23421
500	23458	23365
501	23520	23333
502	23582	23301
503	23642	23267
504	23690	23221
505	23740	23177
506	23805	23147
507	23853	23101
508	23896	23051
509	23945	23006
510	24004	22971
511	24071	22943
512	24108	22886
513	24155	22839
514	24195	22786
515	24236	22733
516	24273	22676
517	24323	22632
518	24379	22594
519	24422	22544
520	24457	22486
521	24497	22432
522	24541	22382
523	24587	22335
524	24622	22277
525	24671	22232
526	24724	22190
527	24782	22154
528	24829	22107
529	24888	22070
530	24945	22032
531	24988	21982
532	25038	21938
533	25086	21892
534	25127	21840
535	25170	21789
536	25206	21732
537	25249	21682
538	25291	21631
539	25332	21579
540	25377	21530
541	25427	21487
542	25469	21435
543	25507	21381
544	25557	21336
545	25622	21305
546	25678	21265
547	25736	21227
548	25788	21185
549	25851	21151
550	25892	21099
551	25933	21047
552	25969	20991
553	26013	20942
554	26054	20890
555	26101	20843
556	26143	20792
557	26181	20738
558	26221	20686
559	26263	20635
560	26308	20586
561	26352	20537
562	26388	20482
563	26435	20435
564	26484	20390
565	26520	20335
566	26555	20279
567	26601	20232
568	26652	20188
569	26722	20158
570	26772	20114
571	26824	20071
572	26876	20028
573	26917	19977
574	26956	19924
575	26998	19874
576	27036	19820
577	27073	19766
578	27117	19717
579	27159	19667
580	27201	19617
581	27251	19572
582	27291	19520
583	27354	19485
584	27419	19451
585	27479	19413
586	27521	19363
587	27561	19312
588	27611	19266
589	27653	19216
590	27701	19170
591	27763	19134
592	27818	19092
593	27852	19037
594	27892	18985
595	27934	18935
596	27979	18887
597	28016	18833
598	28055	18781
599	28099	18733
600	28135	18679
601	28173	18626
602	28216	18576
603	28252	18523
604	28288	18469
605	28332	18420
606	28377	18372
607	28418	18322
608	28458	18271
609	28499	18220
610	28542	18172
611	28601	18132
612	28640	18081
613	28683	18032
614	28723	17981
615	28766	17932
616	28804	17880
617	28852	17834
618	28893	17784
619	28935	17734
620	28981	17687
621	29021	17637
622	29072	17592
623	29111	17541
624	29148	17489
625	29195	17442
626	29239	17394
627	29292	17351
628	29332	17301
629	29382	17256
630	29431	17211
631	29479	17165
632	29519	17115
633	29577	17074
634	29634	17034
635	29680	16986
636	29719	16936
637	29782	16898
638	29845	16860
639	29895	16816
640	29928	16761
641	29964	16709
642	30002	16657
643	30047	16610
644	30094	16563
645	30135	16513
646	30180	16466
647	30221	16416
648	30263	16367
649	30299	16315
650	30338	16264
651	30383	16216
652	30418	16164
653	30459	16114
654	30508	16069
655	30550	16020
656	30593	15971
657	30627	15918
658	30680	15875
659	30738	15834
660	30813	15803
661	30849	15751
662	30897	15704
663	30938	15655
664	30975	15603
665	31015	15554
666	31059	15506
667	31102	15458
668	31149	15411
669	31188	15361
670	31233	15314
671	31280	15267
672	31320	15218
673	31369	15172
674	31430	15133
675	31487	15091
676	31555	15055
677	31607	15011
678	31646	14960
679	31685	14910
680	31731	14863
681	31779	14818
682	31820	14768
683	31872	14724
684	31931	14683
685	31995	14644
686	32061	14607
687	32100	14557
688	32150	14512
689	32196	14465
690	32248	14420
691	32298	14375
692	32344	14328
693	32392	14282
694	32437	14235
695	32498	14194
696	32545	14148
697	32579	14095
698	32620	14046
699	32664	13999
700	32712	13952
701	32746	13901
702	32796	13855
703	32845	13810
704	32889	13762
